1|45.0725|-93.4558
2|30.6697|-81.4626
3|43.55|-96.7003
4|44.8408|-93.2983
5|27.9494|-82.4651
6|44.9133|-93.5033
9|44.8897|-93.35
11|45.0725|-93.4558
13|44.98|-93.2638
15|45.0203|-93.2178
20|46.7867|-92.1005
23|41.9575|-88.0809
24|39.6403|-106.374
26|41.6005|-93.6091
28|44.9483|-93.3481
29|41.8781|-87.6298
30|42.3584|-71.0598
32|44.98|-93.2638
34|45.12|-93.2877
37|44.98|-93.2638
38|42.3584|-71.0598
40|40.7144|-74.006
42|41.8781|-87.6298
43|41.8781|-87.6298
44|36.1146|-115.173
45|41.8781|-87.6298
47|37.0902|-95.7129
48|37.4241|-122.166
49|41.8781|-87.6298
50|40.7144|-74.006
52|42.3584|-71.0598
55|41.8781|-87.6298
56|32.803|-96.7699
57|41.8781|-87.6298
58|51.5002|-0.126236
59|40.7144|-74.006
61|40.7144|-74.006
62|32.7153|-117.157
63|26.1223|-80.1434
64|46.7296|-94.6859
65|44.8211|-93.6051
69|27.9494|-82.4651
73|44.98|-93.2638
75|20.622|-105.228
76|44.98|-93.2638
77|36.1659|-86.7844
78|43.3487|-79.7903
79|26.0523|-80.1439
80|27.9494|-82.4651
81|33.8042|-118.158
86|44.98|-93.2638
92|33.8007|-84.4105
94|44.9542|-93.1139
96|32.803|-96.7699
97|49.8861|-97.1529
98|44.8041|-93.1669
101|37.7749|-122.419
104|44.98|-93.2638
105|44.7677|-93.2777
106|38.9163|-94.3835
108|44.9239|-92.9594
109|33.749|-84.388
110|26.1223|-80.1434
111|33.749|-84.388
113|47.6062|-122.332
114|29.4241|-98.4936
115|44.8833|-93.283
117|30.2672|-97.7431
119|40.7384|-73.0507
120|33.7956|-84.2279
124|44.98|-93.2638
127|45.3069|-92.3621
129|39.0417|-94.7202
133|39.0997|-94.5786
134|44.98|-93.2638
135|41.1148|-74.1496
139|40.7144|-74.006
143|28.1878|-82.7395
144|37.8044|-122.271
146|44.9133|-93.5033
148|32.814|-96.9489
149|44.98|-93.2638
153|44.98|-93.2638
156|36.1146|-115.173
158|44.98|-93.2638
161|32.7254|-97.3208
163|39.2776|-74.5746
166|28.0836|-80.6081
167|39.2904|-76.6122
168|42.3584|-71.0598
169|40.7144|-74.006
171|44.98|-93.2638
172|48.8836|2.27252
173|45.0209|-93.5095
174|44.98|-93.2638
179|42.3584|-71.0598
180|44.98|-93.2638
182|38.8951|-77.0364
184|44.9133|-93.5033
187|33.749|-84.388
189|40.015|-105.271
190|44.98|-93.2638
191|44.98|-93.2638
192|44.98|-93.2638
194|44.98|-93.2638
196|44.98|-93.2638
197|44.8408|-93.2983
199|44.8897|-93.35
200|46.603|-94.3094
201|44.8408|-93.2983
203|44.98|-93.2638
204|35.0845|-106.651
205|44.98|-93.2638
211|43.55|-96.7003
212|44.98|-93.2638
213|44.98|-93.2638
218|44.8408|-93.2983
220|44.98|-93.2638
221|44.98|-93.2638
223|44.98|-93.2638
224|44.7677|-93.2777
225|39.0997|-94.5786
226|44.98|-93.2638
228|40.7404|-73.9834
233|44.98|-93.2638
234|44.9161|-93.1016
235|44.98|-93.2638
236|43.6666|-92.9746
237|41.6005|-93.6091
238|44.98|-93.2638
239|44.9542|-93.1139
